1355Z,M0020454-6
BTB10-253,MAL010105
410,Bir-287
112400015,type-strain:-0545
2462C,E09801032
3280CJ,GG-77-11
0B218DS,MB2
M1559,UT205
0400L,Bir-419
K09700503,TBR-102
2392B,M2144
N09900855,UT0038
2926STDY5723661,H2463
0043Y,UT0096
2505Z,GG-109-10
Bir-176,Bir-242
G09801536,TKK_03_0089
2585L,I0000374-4
KT-0204,OFXR-6
2276A,Bir180
Bir-144,I0001443-6
0733Y,F00002017
03-R0088,2926STDY5723727
MAL020148,type-strain:-1879
400739,Q09901557
KT-0034,TKK_02_0079
Bir-181,CCDC5079_1
MP2,TKK_03_0082
Bir-133,Bir-349
M1404,type-strain:-0660
00-15489,0479X
Bir-93,H2760
2011-0565,Bir-144
Bir-139,Bir-474
Bir-133,Bir-136
UT0112,XTB13-119
Bir-278,KT-0185
402248,OFXR-13
2336Q,OFXR-12
0498S,I0004426-8
2926STDY5723480,7199-99
Bir-265,C0004133-6
1537X,M0017764-3
Bir-247,I09400970
2391A,MAL020135
GG-229-10,KT-0203
Bir-112,Bir-306
ATCCBAA-824,TBV4768
C2_2,J09500385
01-R1278,2525W
Bir-130,Bir-33
1772C,GG-109-10
Bir-134,TB_RSA149
BTB05-285,M00201208
00-R1244,Bir-265
KT-0199,PanR0304
2234E,Bir-173
I09702330,L_13621
02-R0142,SIT745-EAI1-MYS
A70645,TKK_02_0010
I0005682-5,TKK_03_0098
1325R,MTB1
2926STDY5723773,BTB04-158
M1393,MTB1_M
2333M,G09901357
2926STDY5723702,ZMC13-88
Aethiop_vetus_234,Bir-255
M2384,TRS1
0539M,KT-0085
NRITLD57,TKK_03_0115
Bir-27,PanR0403
M0002998-4,TBMENG-03
M1932,N09902308
0277C,A70011_6
A70490,KT-0028
0052H,BTB08-356
02-R1551,632
A00301419,GG-77-11
B00001265,E09701191
Bir-416,SIT745-EAI1-MYS
0174Q,2926STDY5723733
2926STDY5723441,Beijing2014PNGD
2011-0565,MP2
1700284,BE_116771
M0009182-8,TB_RSA149
112400015,H107
A70011_2,GG-27-11
Bir-42,MP2
2559H,LN3672
M0506147,MAL020173
MD18489,type-strain:-2500
H111920015,PanR0403
GG-36-11,M0018060-5
2538K,UT0071
662,KT-0099
MD16568,type-strain:-2339
2248V,J09900583
Bir-279,MAL020107
I0001406-3,J09500392
Bir-91,OSDD518
0344A,0B076XDR
0344A,T09800777
0754W,UT0071
2214H,UT0100
2267Q,Bir-124
0638V,2516L
667,H_13571
1343L,J09902073
0323C,M1317
2393C,J09500392
Bir192,UT0014
0459A,TRS15
A70196,Bir-145
1537X,Bir-419
0365Y,M1488
2483AR,KT-0098
0525X,Bir-75
2597Z,BTB09-184
Bir-116,Bir-408
2926STDY5723520,TKK_04_0079
M1213,type-strain:-2500
2358P,Bir-312
01-R0228,2074CJ
AH26_26663,MP2
A70280,BIR-03
2489F,Kurono
0A012DS,KT-0091
2516L,H2375
01-R0712,HN-506
01-R0824,NRITLD17
Aethiop_vetus_232,Bir-251
0912S,Bir-475
M2141,type-strain:-0545
Mtb43,TRS14
0647E,Bir-133
02-R1933,Bir-32
2196MM,AUH13
0469L,2360R
200253,MAL010136
GG-134-11,SUMu009
01-R0648,M1906
2257E,2926STDY5723497
1500108,Bir-102
2636R,LN3668
H3367,SLM056
I0004478-9,KT-0016
2514J,BTB08-001
0486E,MAL010136
001_13432,I0001662-1
1067L,H107
00-15489,M1400
2353J,TB_RSA161
Bir179,T09800777
2302D,UT0090
0018W,M1397
Bir-22,Bir-78
Bir-228,M2007
1607Y,Bir185
2337R,621
0666A,1343L
E09701106,H114540002
0822-11,UT0052
A4,H1329
2591S,LN3584
2345A,type-strain:-0430
BTB11-192,M2384
2926STDY5723423,T46_2
1821ADB38,Bir-299
2351G,TKK_03_0101
1551M,200253
0469L,ATCC35740
A09901284,M1961
MAL010084,XTB13-128
0429S,D-4155
Bir-142,M1978
2926STDY5723623,M1295
Bir-135,M2130
0B123ND,1832S
2926STDY5723623,M2116
Bir-239,Bir172
M1340,XTB13-161
Bir-94,I0005710-4
47,XDR1219
M2134,M2350
2337R,A70144_1
KT-0003,XTB13-121
I00300818,M1221
1067L,1507P
A70011_2,M0020190-6
02-R0991,Bir-30
Bir-324,MbURU-002
MAL010078,MbURU-002
0392C,TKK_03_0082
0650H,2276A
Bir-173,MbURU-011
J09902073,MD18486
2171L,2279D
LN3588,UT0087
Bir-171,LN3672
1024P,2926STDY5723724
